--- DEMARRAGE GO!EXPLORE ---
sceLocationOpen: 0x8010124F
[Frame 7140] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7200] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7260] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7320] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7380] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7440] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7500] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7560] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7620] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7680] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7740] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7800] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7860] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7920] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7980] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8040] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8100] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8160] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8220] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8280] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8340] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8400] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8460] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8520] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8580] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8640] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8700] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8760] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8820] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8880] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 8940] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 9000] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
